('Romance', 3.1562777018393633, 1206)
('Western', 3.2140607181871017, 185)
('Crime', 3.162583937888231, 907)
('Drama', 3.1391216242914513, 3724)
('Action', 3.1585329294510713, 1175)
('Comedy', 3.1370494677399536, 2113)
('Horror', 3.134020262392475, 723)
('Music', 3.189047782134767, 248)
('TV Movie', 3.148118069220997, 87)
('Science Fiction', 3.157163683913987, 593)
('Animation', 3.175885456020015, 223)
('Adventure', 3.16870906252558, 707)
('Thriller', 3.1482817481660903, 1427)
('History', 3.118791045849541, 306)
('Family', 3.1569054919202837, 386)
('Mystery', 3.1487693926555482, 475)
('Fantasy', 3.142913521900702, 463)
('Foreign', 3.1139858344079143, 271)
('War', 3.1146633826061416, 231)
('Documentary', 3.074235609323985, 503)
